Date,iv_call,skewness_call,iv_put,skewness_put,RSI,K,D,KDminus,macd,macd_signal,macd_hist,ma5,ma20,returns,returns_
2019-03-14,0.018311997,-0.045474535999999996,0.089846756,-0.025286692000000003,62.566687393432595,81.46089307777832,63.44829016557779,18.012602912200535,101.1512123263783,115.15789774779735,-14.00668542141905,10311.466211,10275.488525500004,-0.002381041263653084,0.0
2019-03-15,0.072896386,-0.014695032,0.037284701,-0.008297441,68.42880660742252,88.72861364568105,79.10557448415456,9.623039161526492,104.33334624601957,112.99298744744179,-8.659641201422218,10350.9642578,10292.921533300005,0.00871569108110748,1.0
2019-03-18,0.04336583,-0.019102362,0.061662289,-0.034797302999999995,72.27030942371935,90.37734920184575,86.85561864176844,3.5217305600773017,111.49754097797813,112.69389815354906,-1.196357175570924,10403.4482422,10314.106054750006,0.007012263352134345,0.0
2019-03-19,0.075550952,-0.029283999999999998,0.042996164,-0.052399028,72.22073488933087,97.72220952847034,92.27605745866578,5.446152069804569,115.80958283375185,113.31703508958961,2.4925477441622377,10437.2462892,10336.483056750005,-3.613618354343003e-05,0.0
2019-03-20,0.06596378900000001,-0.031110645,0.033906892,-0.045262322,74.21390739702066,96.91638891395633,95.00531588142421,1.9110730325321157,120.99839301894463,114.85330667546062,6.14508634348401,10472.8941406,10356.797021600005,0.003725743083276575,1.0
2019-03-21,0.004887992,-0.025030963,0.09581242,-0.013750305,76.88749163011995,96.53262494652559,97.05707446298415,-0.5244495164585601,128.31080273077532,117.54480588652356,10.76599684425176,10525.0740234,10379.661523550003,0.005480844991585733,1.0
2019-03-22,0.059379547000000005,-0.013554885,0.021733895,-0.035063992999999995,78.1458374790169,94.47946859326782,95.97616081791665,-1.4966922246488252,134.93257960778283,121.02236063077541,13.910218977007418,10565.040039200001,10397.992041150002,0.0027785829695176284,0.0
2019-03-25,0.08410380099999999,-0.00053384,0.077530747,-0.004846186,59.1526740302442,65.249492143458,85.42052856108387,-20.17103641762587,125.85207445321248,121.98830339526282,3.8637710579496627,10558.396094000002,10405.989550950002,-0.015113999402812828,0.0
2019-03-26,0.040284437,-0.027425961000000002,0.055206446,-0.007200313000000001,63.93001778391215,48.30278647767623,69.34391573813409,-21.041129260457858,123.66291523008113,122.32322576222649,1.3396894678546403,10567.7720704,10417.803564600003,0.0075784322045318285,1.0
2019-03-27,0.066400949,-0.004645392,0.045870787999999996,-0.004858581,62.28521240155025,32.67357697648283,48.741951865872416,-16.068374889389588,119.2222586851185,121.70303234680489,-2.480773661686385,10566.0001954,10425.392089950004,-0.0015638405127260861,0.0
